Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
08-Apr-20,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
09-Apr-20,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
13-Apr-20,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
15-Apr-20,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
16-Apr-20,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
17-Apr-20,9323.45,9324,9091.35,9266.75,684910520,33334.73
20-Apr-20,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
21-Apr-20,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
22-Apr-20,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
23-Apr-20,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
24-Apr-20,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
27-Apr-20,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
28-Apr-20,9389.8,9404.4,9260,9380.9,614548983,30091.41
29-Apr-20,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
30-Apr-20,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
