Date,Open,High,Low,Close,Adj Close,Volume
2019-06-28,4.300000,4.350000,4.290000,4.330000,4.314001,1821300
2019-07-01,4.350000,4.370000,4.310000,4.320000,4.304038,914300
2019-07-02,4.360000,4.420000,4.350000,4.400000,4.383742,1466400
2019-07-03,4.350000,4.380000,4.340000,4.380000,4.363816,610600
2019-07-05,4.260000,4.290000,4.240000,4.290000,4.274148,1375600
2019-07-08,4.210000,4.230000,4.160000,4.160000,4.144629,2149000
2019-07-09,4.150000,4.170000,4.130000,4.160000,4.144629,1803100
2019-07-10,4.210000,4.230000,4.140000,4.180000,4.164555,2477000
2019-07-11,4.180000,4.220000,4.160000,4.220000,4.204407,2714100
2019-07-12,4.140000,4.200000,4.130000,4.200000,4.184481,2098900
2019-07-15,4.170000,4.190000,4.110000,4.180000,4.164555,2843000
2019-07-16,4.140000,4.190000,4.140000,4.170000,4.154592,2083800
2019-07-17,4.190000,4.240000,4.130000,4.140000,4.124702,2282100
2019-07-18,4.290000,4.290000,4.210000,4.260000,4.244259,2206000
2019-07-19,4.220000,4.240000,4.160000,4.170000,4.154592,1813100
2019-07-22,4.180000,4.210000,4.170000,4.180000,4.164555,971700
2019-07-23,4.180000,4.220000,4.180000,4.190000,4.174518,691100
2019-07-24,4.200000,4.210000,4.180000,4.180000,4.164555,678300
2019-07-25,4.160000,4.170000,4.140000,4.140000,4.124702,939700
2019-07-26,4.170000,4.180000,4.150000,4.160000,4.144629,1132000
2019-07-29,4.150000,4.170000,4.140000,4.170000,4.154592,529500
2019-07-30,4.150000,4.150000,4.090000,4.090000,4.074888,657500
2019-07-31,4.150000,4.190000,4.030000,4.090000,4.074888,1708100
2019-08-01,4.170000,4.240000,4.140000,4.150000,4.134666,2253300
2019-08-02,4.070000,4.070000,4.010000,4.030000,4.015110,1368800
2019-08-05,3.980000,3.990000,3.890000,3.920000,3.905516,1046900
2019-08-06,3.920000,3.970000,3.920000,3.950000,3.935405,1037900
2019-08-07,3.970000,3.970000,3.950000,3.970000,3.955331,1285800
2019-08-08,4.030000,4.030000,3.970000,4.020000,4.005146,1019800
2019-08-09,4.000000,4.000000,3.960000,3.970000,3.955331,916700
2019-08-12,3.930000,4.000000,3.930000,3.970000,3.955331,780900
2019-08-13,3.910000,3.930000,3.870000,3.910000,3.895553,1540100
2019-08-14,3.800000,3.810000,3.760000,3.770000,3.756070,1113600
2019-08-15,3.800000,3.810000,3.770000,3.780000,3.766033,724100
2019-08-16,3.760000,3.830000,3.760000,3.800000,3.785959,973300
2019-08-19,3.840000,3.840000,3.760000,3.760000,3.746107,1700300
2019-08-20,3.780000,3.820000,3.760000,3.760000,3.746107,992700
2019-08-21,3.790000,3.800000,3.760000,3.780000,3.766033,604500
2019-08-22,3.770000,3.780000,3.720000,3.730000,3.716218,1351800
2019-08-23,3.760000,3.790000,3.710000,3.710000,3.696291,1721200
